,0
234,CCCCOc1cc(C(O)=NCCN(CC)CC)c2ccccc2n1
235,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12
236,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12
237,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
238,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
239,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O
240,Cl.O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
241,COc1cc(N)c(Cl)cc1C(O)=NC1CCN(CCCOc2ccc(F)cc2)CC1OC
242,Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
243,CC(O)=NC1CCSC1=O
244,COc1cc(N)c(Cl)cc1C(O)=NC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O
245,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O
246,Cl.Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1
247,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1.Cl
248,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-]
249,CCC[C@@H]1C[C@@H](C(O)=N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1.Cl
250,Oc1c(I)cc(Cl)c2cccnc12
251,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
252,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
253,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
254,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.Cc1ccc(S(=O)(=O)[O-])cc1
255,CCN(CC)CCOc1ccc(/C(=C(\Cl)c2ccccc2)c2ccccc2)cc1
256,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21.Cl
